participant_id,age,gender,race_ethnicity,education_level,political_affiliation,vaccine_hesitancy,trust_in_science,trust_in_government,ad_engagement_score,baseline_attitude_score
P00088,43,Male,White,Master,Moderate,3,2,4,3.9,5
P00089,33,Male,Hispanic,Bachelor,Liberal,5,1,3,2.7,4
P00090,46,Male,White,Bachelor,Conservative,2,4,2,2.4,1
P00091,41,Female,White,High School,Liberal,5,1,4,3.1,3
P00092,51,Female,Black,Bachelor,Liberal,1,3,3,2.2,5
P00093,31,Male,White,Bachelor,Moderate,3,3,4,3.3,1
P00094,36,Female,White,Bachelor,Moderate,1,4,2,2.8,1
P00095,35,Female,White,High School,Conservative,4,5,4,2.3,2
P00096,22,Female,Black,Master,Conservative,5,1,4,3.1,4
P00097,43,Female,Other,Master,Moderate,5,4,4,3.9,2
P00098,43,Female,White,High School,Liberal,5,2,5,1.5,3
P00099,40,Female,Hispanic,High School,Liberal,2,2,1,3.2,4
P00100,37,Female,White,Bachelor,Liberal,1,5,2,1.0,5
P00101,23,Female,White,Bachelor,Moderate,4,3,5,2.7,4
P00102,34,Male,Hispanic,Bachelor,Conservative,2,4,1,3.7,1
P00103,35,Male,Hispanic,Bachelor,Liberal,2,1,4,4.0,1
P00104,30,Female,Asian,Bachelor,Liberal,3,4,4,2.5,1
P00105,38,Male,White,Bachelor,Moderate,4,5,5,2.5,4
P00106,44,Male,White,High School,Liberal,5,4,3,2.8,1
P00107,62,Female,White,High School,Conservative,5,5,2,1.9,1
P00108,42,Male,White,Bachelor,Moderate,3,5,1,3.2,2
P00109,43,Female,White,High School,Moderate,5,5,4,2.0,1
P00110,39,Female,Hispanic,PhD,Liberal,1,4,2,3.6,2
P00111,18,Female,Hispanic,Master,Conservative,5,2,4,2.3,3
P00112,39,Female,White,Master,Liberal,1,1,4,2.7,4
P00113,40,Male,White,PhD,Conservative,3,5,4,3.5,2
P00114,69,Female,Hispanic,Bachelor,Liberal,3,3,2,3.6,4
P00115,37,Female,White,Master,Conservative,1,5,5,3.6,4
P00116,43,Other,Black,High School,Conservative,5,4,2,3.3,5
P00117,39,Male,White,High School,Liberal,3,5,2,1.9,2
P00118,25,Male,White,Master,Conservative,3,3,3,3.0,1
P00119,53,Female,Other,High School,Moderate,1,2,3,2.8,5
P00120,49,Male,White,Not Applicable,Liberal,3,4,5,2.6,2
P00121,49,Female,White,Bachelor,Liberal,5,4,3,3.1,2
P00122,29,Male,White,Master,Moderate,3,4,5,2.1,3
P00123,56,Male,Hispanic,High School,Moderate,1,3,4,3.0,1
P00124,23,Male,Hispanic,Bachelor,Conservative,5,4,4,2.7,3
P00125,47,Male,White,High School,Conservative,4,2,2,2.5,4
P00126,66,Female,White,Master,Moderate,1,1,4,1.9,1
P00127,28,Female,Black,High School,Conservative,4,1,3,1.9,3
P00128,33,Male,White,Bachelor,Moderate,3,5,1,4.3,3
P00129,41,Female,Black,High School,Liberal,5,1,2,3.1,1
P00130,33,Male,White,High School,Conservative,3,3,5,4.8,2
P00131,21,Female,White,Bachelor,Liberal,5,1,4,4.9,4
P00132,40,Male,Black,High School,Liberal,2,3,2,4.2,5
P00133,27,Female,White,Master,Conservative,3,3,2,1.7,5
P00134,45,Female,Hispanic,High School,Moderate,3,5,2,4.4,5
P00135,28,Female,White,High School,Liberal,3,1,4,2.9,4
P00136,58,Female,White,Bachelor,Liberal,1,5,5,2.7,1
P00137,30,Female,Other,High School,Moderate,5,4,2,2.6,1
P00138,36,Female,White,High School,Conservative,5,2,2,2.6,1
P00139,49,Female,Black,Master,Moderate,5,1,2,3.4,5
P00140,25,Female,White,High School,Moderate,1,4,4,5.0,2
P00141,42,Female,Black,High School,Liberal,5,4,3,1.4,3
P00142,55,Male,Black,High School,Liberal,3,5,5,4.9,5
P00143,20,Female,White,Bachelor,Liberal,4,5,2,4.5,4
P00144,42,Male,Hispanic,Bachelor,Liberal,2,2,2,2.8,1
P00145,43,Female,Black,High School,Moderate,5,2,2,2.5,3
P00146,49,Female,White,Master,Liberal,1,2,4,1.7,1
P00147,25,Female,White,High School,Liberal,1,2,3,2.1,1
P00148,24,Male,White,Bachelor,Conservative,5,5,2,2.4,1
P00149,46,Male,White,Bachelor,Conservative,4,3,2,2.9,2
P00150,43,Female,White,Bachelor,Conservative,5,5,4,3.0,3
P00151,43,Female,White,Not Applicable,Moderate,1,3,5,3.8,5
P00152,44,Male,White,Bachelor,Liberal,2,5,5,3.7,2
P00153,31,Male,Asian,Not Applicable,Conservative,4,5,3,3.2,4
P00154,42,Female,White,High School,Liberal,5,2,5,3.0,4
P00155,43,Female,Hispanic,High School,Moderate,2,3,2,4.1,5
P00156,31,Male,White,High School,Conservative,5,4,4,3.8,3
P00157,62,Male,White,Bachelor,Conservative,4,4,2,3.4,5
P00158,45,Male,Asian,High School,Conservative,1,4,2,2.6,2
P00159,25,Female,White,High School,Conservative,4,2,3,4.1,3
P00160,47,Male,White,Bachelor,Moderate,3,4,5,3.8,4
P00161,28,Male,White,High School,Liberal,5,5,5,2.8,3
P00162,49,Male,White,High School,Conservative,2,2,5,1.1,3
P00163,53,Male,White,High School,Liberal,2,4,2,3.1,3
P00164,30,Female,Other,Master,Conservative,4,2,4,2.3,5
P00165,51,Male,White,High School,Liberal,4,5,4,3.7,1
P00166,44,Male,Hispanic,Master,Liberal,4,2,2,3.2,2
P00167,49,Male,Black,Bachelor,Conservative,2,4,1,1.3,3
P00168,62,Male,White,Bachelor,Liberal,1,2,2,3.3,3
P00169,37,Male,White,High School,Conservative,2,1,5,4.7,5
P00170,30,Female,Hispanic,High School,Liberal,1,4,2,2.8,2
P00171,29,Female,Hispanic,Bachelor,Conservative,4,5,1,3.0,2
P00172,30,Female,White,High School,Moderate,3,3,2,2.7,4
P00173,39,Female,White,High School,Moderate,2,2,5,3.1,2
P00174,44,Female,White,High School,Liberal,4,2,3,4.5,2
P00175,43,Male,White,Master,Liberal,2,4,4,4.1,3
P00176,49,Female,White,Bachelor,Conservative,4,4,1,2.4,1
P00177,40,Female,Hispanic,Bachelor,Liberal,2,1,3,2.9,3
P00178,57,Female,White,Bachelor,Liberal,5,5,4,3.0,5
P00179,36,Female,Asian,Master,Moderate,2,2,3,3.4,2
P00180,72,Male,Black,Bachelor,Moderate,5,2,2,3.4,1
P00181,47,Female,White,Bachelor,Liberal,1,3,2,2.9,3
P00182,29,Female,White,PhD,Liberal,2,2,4,1.8,4
P00183,27,Other,Black,Master,Liberal,1,2,4,2.9,5
P00184,45,Male,Hispanic,High School,Conservative,3,1,2,2.6,5
P00185,37,Male,Black,High School,Liberal,5,3,2,2.1,5
P00186,48,Male,White,Master,Conservative,2,2,4,3.8,3
P00187,45,Female,White,Master,Liberal,1,2,4,3.0,1
P00188,39,Male,White,Bachelor,Liberal,4,5,4,2.0,1
P00189,29,Male,White,Bachelor,Moderate,1,2,5,5.0,2
P00190,21,Other,Asian,Bachelor,Liberal,2,1,5,3.4,1
P00191,34,Male,White,Bachelor,Moderate,3,2,2,3.8,4
P00192,50,Female,Hispanic,Bachelor,Conservative,5,2,5,4.0,5
P00193,42,Male,White,High School,Liberal,4,4,1,2.6,3
P00194,25,Female,Black,Not Applicable,Conservative,1,2,2,3.5,5
P00195,42,Female,Other,Master,Liberal,2,3,1,1.1,5
P00196,44,Female,White,Bachelor,Liberal,2,4,3,4.0,4
P00197,29,Female,Hispanic,High School,Liberal,5,3,1,2.9,5
P00198,41,Male,White,High School,Conservative,4,3,3,3.5,5
P00199,40,Male,White,Bachelor,Liberal,1,1,1,2.9,4
P00200,26,Male,Hispanic,Bachelor,Conservative,1,2,3,4.8,4
P00201,44,Female,Hispanic,Bachelor,Moderate,1,3,3,4.2,1
P00202,46,Female,White,Bachelor,Liberal,5,2,2,1.0,5
P00203,52,Male,White,Bachelor,Moderate,5,2,4,3.6,2
P00204,52,Female,Black,Master,Conservative,4,1,4,2.7,2
P00205,23,Male,Hispanic,High School,Conservative,1,1,2,3.6,2
P00206,28,Female,White,Bachelor,Moderate,1,3,3,3.6,4
P00207,46,Female,Hispanic,Master,Conservative,4,3,4,2.3,5
P00208,46,Male,White,Bachelor,Liberal,4,4,4,2.9,1
P00209,46,Female,White,Bachelor,Conservative,4,2,1,2.0,5
P00210,85,Male,White,Bachelor,Conservative,2,2,5,4.5,2
P00211,46,Female,White,Not Applicable,Conservative,4,1,2,3.3,3
P00212,53,Female,Hispanic,High School,Conservative,3,1,5,3.4,2
P00213,51,Male,White,Bachelor,Moderate,5,3,3,3.3,4
P00214,47,Male,Hispanic,High School,Moderate,4,4,1,1.9,5
P00215,36,Male,White,High School,Moderate,2,4,4,3.6,4
P00216,49,Female,Black,Bachelor,Liberal,3,1,1,4.8,1
P00217,30,Female,Hispanic,High School,Moderate,2,1,2,1.4,5
P00218,37,Male,Black,Not Applicable,Liberal,2,4,3,3.1,5
P00219,34,Female,Black,Not Applicable,Moderate,2,4,1,3.8,5
P00220,40,Female,White,High School,Liberal,2,3,1,2.3,3
P00221,67,Male,Hispanic,Bachelor,Liberal,1,4,1,3.7,5
P00222,18,Male,Hispanic,Bachelor,Liberal,5,2,4,3.0,3
P00223,48,Female,White,Master,Conservative,1,4,3,2.3,5
P00224,20,Female,Hispanic,Bachelor,Liberal,3,5,4,1.0,2
P00225,34,Male,White,High School,Conservative,1,4,1,2.9,1
P00226,53,Male,White,Master,Liberal,3,1,4,2.9,5
P00227,40,Male,Hispanic,Master,Moderate,4,1,4,4.3,4
P00228,27,Female,White,Bachelor,Liberal,3,5,2,3.3,2
P00229,31,Male,Hispanic,PhD,Liberal,1,2,5,2.5,4
P00230,48,Male,White,PhD,Moderate,1,4,5,1.4,4
P00231,31,Female,White,Bachelor,Moderate,3,4,2,3.9,3
P00232,42,Female,White,Bachelor,Liberal,1,5,2,3.1,1
P00233,40,Male,White,Not Applicable,Moderate,3,3,4,2.6,4
P00234,32,Male,Asian,High School,Conservative,2,3,4,2.5,2
P00235,65,Female,White,High School,Liberal,5,2,3,4.2,1
P00236,47,Male,White,High School,Liberal,3,4,5,4.4,2
P00237,18,Male,White,PhD,Moderate,2,4,4,2.4,4
P00238,42,Female,White,Master,Liberal,2,4,3,1.0,1
P00239,32,Male,Asian,High School,Conservative,2,1,5,2.8,5
P00240,50,Female,White,Not Applicable,Moderate,2,3,3,3.2,4
P00241,30,Female,Black,Master,Moderate,3,5,3,3.1,4
P00242,38,Male,Hispanic,Master,Moderate,1,1,2,1.4,3
P00243,46,Male,Black,High School,Moderate,2,1,1,4.5,2
P00244,50,Female,Hispanic,Bachelor,Liberal,4,3,1,1.1,5
P00245,25,Female,White,Bachelor,Conservative,2,4,1,2.3,1
P00246,35,Female,White,Bachelor,Moderate,1,2,3,2.0,4
P00247,34,Female,Hispanic,Bachelor,Liberal,1,5,4,1.9,4
P00248,32,Male,Black,Master,Moderate,5,3,1,1.0,5
P00249,61,Female,Black,High School,Liberal,5,2,4,3.1,4
P00250,44,Male,Black,Master,Liberal,2,3,5,4.4,2
P00251,24,Male,White,High School,Moderate,2,3,1,2.8,1
P00252,51,Male,White,High School,Moderate,5,3,3,2.0,5
P00253,65,Male,Asian,High School,Moderate,2,3,2,4.4,5
P00254,52,Female,Black,High School,Liberal,4,4,3,3.8,3
P00255,21,Male,White,High School,Moderate,3,1,4,2.2,1
P00256,34,Male,Hispanic,Master,Liberal,5,3,5,3.3,5
P00257,55,Male,White,Bachelor,Moderate,5,2,3,4.1,4
P00258,31,Female,White,Bachelor,Moderate,1,2,2,2.1,1
P00259,45,Female,Hispanic,Bachelor,Moderate,2,2,2,3.1,2
P00260,49,Male,Hispanic,High School,Conservative,5,1,5,2.6,5
P00261,28,Male,White,High School,Conservative,5,1,1,1.8,2
P00262,39,Male,White,Bachelor,Conservative,4,2,3,3.2,5
P00263,18,Female,White,Bachelor,Conservative,2,4,3,3.4,4
P00264,27,Female,Black,Master,Conservative,3,1,2,3.0,3
P00265,36,Female,White,Bachelor,Conservative,4,1,4,2.2,4
P00266,25,Female,Hispanic,Master,Conservative,3,4,3,5.0,2
P00267,59,Male,Hispanic,Bachelor,Conservative,1,3,2,2.5,1
P00268,22,Female,Hispanic,Not Applicable,Liberal,5,1,4,3.6,2
P00269,34,Female,White,High School,Liberal,4,2,1,3.8,3
P00270,41,Male,Asian,Bachelor,Conservative,3,2,1,1.0,5
P00271,57,Male,White,Bachelor,Moderate,2,4,2,3.8,5
P00272,22,Female,White,Not Applicable,Conservative,1,2,2,3.0,2
P00273,53,Female,White,High School,Liberal,1,5,1,2.7,1
P00274,40,Male,White,Bachelor,Liberal,5,2,2,2.9,5
P00275,28,Female,Hispanic,High School,Conservative,5,4,5,3.6,5
P00276,45,Female,White,Bachelor,Conservative,3,4,3,1.0,3
P00277,42,Male,White,High School,Liberal,3,4,5,3.0,3
P00278,32,Male,Hispanic,High School,Conservative,1,5,4,3.4,1
P00279,40,Male,White,Bachelor,Conservative,3,1,2,5.0,5
P00280,35,Female,Asian,High School,Liberal,5,3,2,1.6,4
P00281,41,Male,White,High School,Liberal,1,2,4,3.4,2
P00282,47,Male,White,High School,Liberal,1,1,3,2.5,5
P00283,59,Female,Hispanic,High School,Liberal,2,4,1,3.5,2
P00284,25,Female,White,Not Applicable,Moderate,2,1,5,3.9,5
P00285,65,Male,White,Bachelor,Liberal,3,1,3,2.3,3
P00286,18,Male,White,Master,Liberal,3,5,1,5.0,1
P00287,38,Female,White,Bachelor,Conservative,5,4,1,4.3,4
P00288,47,Female,White,PhD,Moderate,5,4,2,3.8,3
P00289,43,Female,White,Bachelor,Moderate,2,2,4,2.6,1
P00290,32,Male,White,Bachelor,Liberal,1,2,2,2.4,3
P00291,37,Female,Asian,Bachelor,Conservative,4,2,4,3.4,2
P00292,34,Female,White,Master,Conservative,4,2,2,2.6,5
P00293,32,Female,White,Bachelor,Moderate,3,1,5,2.5,3
P00294,50,Female,White,High School,Conservative,4,1,2,4.9,1
P00295,44,Male,Hispanic,High School,Conservative,4,2,5,3.5,5
P00296,31,Male,Hispanic,Bachelor,Conservative,2,2,3,3.8,2
P00297,50,Female,Black,Bachelor,Conservative,1,2,3,4.9,2
P00298,43,Female,Hispanic,High School,Liberal,5,3,2,3.1,4
P00299,49,Female,White,Bachelor,Liberal,2,2,3,2.4,5
P00300,47,Male,White,Bachelor,Liberal,5,3,1,1.9,2
P00301,30,Female,Black,Master,Liberal,2,2,5,4.4,3
P00302,33,Female,Black,High School,Liberal,2,4,4,2.6,2
P00303,48,Male,White,High School,Conservative,4,5,5,1.0,2
P00304,47,Male,White,Master,Liberal,5,1,2,1.0,2
P00305,39,Female,Other,Bachelor,Conservative,2,4,3,1.5,4
P00306,41,Female,Hispanic,High School,Moderate,4,5,3,2.6,1
P00307,55,Female,White,Master,Liberal,3,3,1,2.8,2
P00308,32,Female,Black,Bachelor,Moderate,5,1,3,3.5,1
P00309,46,Male,White,Bachelor,Liberal,2,3,2,1.9,5
P00310,37,Male,White,Not Applicable,Conservative,3,3,2,3.2,1
P00311,37,Female,White,Not Applicable,Conservative,4,1,4,3.9,5
P00312,53,Female,White,High School,Liberal,2,5,5,2.9,4
P00313,49,Female,White,High School,Conservative,4,1,5,2.5,5
P00314,49,Female,Hispanic,High School,Conservative,4,2,5,2.1,5
P00315,55,Male,White,High School,Liberal,4,3,4,4.1,3
P00316,40,Female,White,High School,Moderate,5,2,4,1.6,4
P00317,48,Male,White,Bachelor,Moderate,3,1,4,4.6,2
P00318,36,Male,White,Not Applicable,Liberal,3,1,1,3.0,4
P00319,43,Male,Hispanic,Master,Conservative,1,5,4,2.0,3
P00320,38,Male,Black,Bachelor,Liberal,2,3,3,3.8,5
P00321,41,Male,Hispanic,Bachelor,Moderate,4,4,1,3.5,4
P00322,47,Male,Other,High School,Liberal,2,1,3,3.4,3
P00323,30,Male,White,High School,Conservative,3,4,5,3.7,2
P00324,65,Male,White,High School,Conservative,3,3,2,3.2,5
P00325,27,Female,Hispanic,Master,Liberal,4,2,5,3.5,4
P00326,25,Male,Other,High School,Liberal,5,3,4,4.4,4
P00327,53,Male,Black,Master,Liberal,4,5,2,3.2,5
P00328,49,Female,Hispanic,Bachelor,Conservative,4,4,5,3.8,4
P00329,47,Female,Asian,High School,Liberal,1,4,1,1.0,5
P00330,47,Female,White,High School,Conservative,5,2,4,3.3,3
P00331,39,Male,White,Bachelor,Conservative,2,2,5,5.0,5
P00332,29,Female,Hispanic,PhD,Moderate,5,1,2,1.2,2
P00333,40,Male,Black,Master,Liberal,4,3,3,5.0,5
P00334,31,Male,White,High School,Liberal,4,5,5,3.7,4
P00335,51,Male,White,Bachelor,Moderate,4,1,1,1.3,5
P00336,38,Female,White,High School,Moderate,4,3,2,3.0,5
P00337,30,Male,White,Not Applicable,Moderate,4,2,5,3.4,5
P00338,36,Male,Hispanic,Master,Moderate,5,5,3,3.9,2
P00339,44,Male,White,Bachelor,Liberal,4,2,4,2.6,2
P00340,33,Female,White,Bachelor,Conservative,3,2,4,3.7,4
P00341,30,Female,White,Bachelor,Liberal,3,4,4,4.4,4
P00342,42,Male,Black,High School,Moderate,1,3,2,3.9,5
P00343,42,Female,White,High School,Conservative,2,1,3,4.2,1
P00344,33,Female,White,Bachelor,Liberal,3,4,3,2.6,3
P00345,34,Female,White,PhD,Conservative,1,3,5,3.7,5
P00346,42,Male,White,Bachelor,Conservative,5,3,4,5.0,3
P00347,22,Female,White,High School,Moderate,2,3,2,1.9,2
P00348,23,Male,White,Master,Liberal,4,5,4,3.4,4
P00349,31,Female,Hispanic,High School,Liberal,4,4,4,1.9,1
P00350,37,Male,White,High School,Liberal,5,1,5,4.3,4
P00351,43,Male,White,High School,Liberal,2,4,5,1.0,2
P00352,57,Male,Black,Bachelor,Conservative,3,2,5,2.4,5
P00353,50,Female,White,Bachelor,Moderate,2,3,1,5.0,2
P00354,38,Male,Black,Bachelor,Liberal,1,2,1,2.5,1
P00355,39,Female,White,Master,Conservative,5,4,2,2.9,5
P00356,27,Male,White,High School,Conservative,3,1,2,4.2,5
P00357,39,Female,Asian,Master,Liberal,2,2,5,2.9,1
P00358,36,Female,Hispanic,High School,Liberal,2,2,3,1.0,4
P00359,43,Female,White,Master,Liberal,3,5,2,1.9,5
P00360,30,Female,White,Bachelor,Conservative,1,4,1,4.3,4
P00361,46,Female,White,Bachelor,Moderate,1,2,1,4.5,3
P00362,58,Male,Hispanic,Bachelor,Conservative,2,4,4,1.0,1
P00363,38,Female,Hispanic,Bachelor,Liberal,4,1,5,2.1,3
P00364,44,Male,White,High School,Conservative,3,2,3,2.3,5
P00365,48,Female,White,Master,Liberal,1,1,5,2.6,1
P00366,35,Female,White,High School,Conservative,1,2,1,2.1,5
P00367,42,Male,White,High School,Conservative,1,3,3,3.1,1
P00368,40,Male,White,Bachelor,Liberal,5,5,2,2.4,4
P00369,41,Male,White,Master,Conservative,4,5,4,2.6,2
P00370,30,Female,Black,High School,Conservative,1,5,1,1.9,2
P00371,40,Female,Hispanic,PhD,Conservative,4,1,4,3.8,1
P00372,45,Female,Other,Not Applicable,Liberal,2,4,5,1.6,3
P00373,57,Female,White,Bachelor,Moderate,2,5,3,3.4,1
P00374,51,Female,White,Bachelor,Conservative,5,2,5,4.0,4
P00375,65,Male,Hispanic,Master,Conservative,4,2,4,5.0,3
P00376,30,Male,White,High School,Liberal,3,3,1,3.5,1
P00377,50,Female,Black,Bachelor,Conservative,5,1,4,3.2,1
P00378,42,Female,White,PhD,Liberal,1,2,1,1.3,5
P00379,66,Female,White,Not Applicable,Conservative,2,2,4,4.5,4
P00380,30,Male,White,PhD,Liberal,2,3,5,3.1,4
P00381,29,Male,White,High School,Liberal,3,3,4,3.3,2
P00382,32,Male,Black,High School,Moderate,5,4,2,3.4,5
P00383,18,Male,White,High School,Moderate,4,4,5,3.1,3
P00384,33,Male,White,Bachelor,Moderate,2,4,4,3.0,2
P00385,30,Female,White,High School,Moderate,1,2,4,2.6,4
P00386,41,Male,Hispanic,High School,Liberal,3,3,3,3.7,1
P00387,44,Female,White,Bachelor,Liberal,3,1,5,1.5,5
P00388,62,Male,White,Master,Conservative,3,4,3,1.5,4
P00389,51,Female,White,Master,Liberal,1,5,5,2.2,4
P00390,33,Male,White,Master,Moderate,3,2,1,4.2,5
P00391,29,Male,White,High School,Moderate,4,1,5,3.4,4
P00392,45,Male,Asian,High School,Conservative,4,2,5,2.4,2
P00393,24,Female,White,Master,Conservative,5,4,4,2.2,5
P00394,61,Female,White,Bachelor,Liberal,5,2,2,2.9,4
P00395,54,Male,Black,Bachelor,Conservative,4,4,5,3.4,4
P00396,34,Male,White,High School,Conservative,1,2,3,4.4,5
P00397,19,Female,White,High School,Moderate,5,4,2,5.0,1
P00398,56,Male,White,Bachelor,Conservative,3,3,5,2.9,3
P00399,38,Male,White,Master,Moderate,4,3,2,5.0,5
P00400,54,Female,Black,PhD,Moderate,2,3,1,3.1,1
P00401,20,Female,Black,Bachelor,Liberal,1,3,2,3.3,4
P00402,32,Male,Black,Bachelor,Moderate,1,3,1,4.0,2
P00403,40,Male,Black,Master,Liberal,4,5,2,4.1,4
P00404,40,Female,White,Bachelor,Liberal,2,2,2,4.6,4
P00405,34,Male,White,Bachelor,Liberal,1,3,3,1.7,1
P00406,47,Male,White,PhD,Liberal,5,5,3,3.1,5
P00407,27,Female,White,Master,Liberal,2,5,4,4.3,3
P00408,38,Female,Other,PhD,Moderate,3,2,2,1.9,3
P00409,41,Male,Hispanic,High School,Liberal,5,2,1,1.1,5
P00410,46,Other,White,Bachelor,Conservative,2,4,2,1.5,5
P00411,48,Female,White,Master,Liberal,4,4,5,2.9,2
P00412,26,Male,White,High School,Moderate,1,3,1,5.0,5
P00413,21,Other,White,Master,Liberal,5,1,5,1.5,2
P00414,55,Male,White,High School,Liberal,4,4,4,1.8,5
P00415,43,Male,White,Master,Liberal,2,1,5,2.5,2
