participant_id,age,gender,race_ethnicity,education_level,political_affiliation,vaccine_hesitancy,trust_in_science,trust_in_government,ad_engagement_score,baseline_attitude_score,ad_group,ad_group_y,vaccine_uptake,post_attitude_score,degree_centrality,community_id
P00049,44,Male,White,Master,Moderate,1,4,4,4.2,2,Ad_Emotion,Ad_Emotion,0,3,0.01066903756390309,1
P00050,18,Female,White,High School,Liberal,2,3,3,3.4,1,Ad_Emotion,Ad_Emotion,1,4,0.010446765947988441,1
P00051,43,Female,White,High School,Conservative,3,1,4,1.3,3,Ad_Emotion,Ad_Emotion,1,4,0.010891309179817737,1
P00052,35,Female,Hispanic,Bachelor,Liberal,5,4,2,3.1,4,Ad_Reason,Ad_Reason,0,1,0.01066903756390309,2
P00053,31,Male,Other,High School,Moderate,5,4,1,3.5,5,Ad_Emotion,Ad_Emotion,0,4,0.012447210491220271,0
P00054,47,Female,White,High School,Liberal,3,4,2,3.2,4,Ad_Reason,Ad_Reason,1,3,0.010446765947988441,1
P00055,52,Male,White,High School,Conservative,4,3,2,2.6,3,Ad_Emotion,Ad_Emotion,1,4,0.009113136252500556,0
P00056,51,Male,White,High School,Liberal,3,5,1,3.5,5,Control,Control,0,2,0.010446765947988441,1
P00057,29,Female,Black,Bachelor,Conservative,5,2,3,3.2,2,Control,Control,1,2,0.01155812402756168,1
P00058,36,Female,Black,High School,Conservative,3,3,5,1.0,1,Ad_Reason,Ad_Reason,0,3,0.012002667259390976,2
P00059,43,Other,Asian,Bachelor,Conservative,1,1,4,1.7,3,Control,Control,1,4,0.010891309179817737,2
P00060,51,Male,White,Bachelor,Liberal,4,3,4,3.3,1,Control,Control,0,4,0.006890420093354078,1
P00061,34,Female,Asian,Bachelor,Moderate,3,3,2,3.7,2,Ad_Emotion,Ad_Emotion,1,4,0.013114025338964214,0
P00062,37,Male,Black,Not Applicable,Liberal,5,2,1,2.2,5,Ad_Reason,Ad_Reason,1,3,0.010002222716159146,0
P00063,26,Male,White,High School,Conservative,3,2,2,3.7,3,Ad_Emotion,Ad_Emotion,0,3,0.010224494332073794,0
P00064,25,Female,White,Not Applicable,Conservative,3,2,2,3.5,5,Ad_Emotion,Ad_Emotion,1,2,0.01066903756390309,1
P00066,56,Female,White,Master,Conservative,3,3,4,3.4,2,Ad_Emotion,Ad_Emotion,0,5,0.010891309179817737,2
P00067,39,Male,Hispanic,Bachelor,Liberal,1,1,5,3.4,2,Ad_Emotion,Ad_Emotion,1,4,0.011780395643476329,0
P00068,52,Female,White,Bachelor,Moderate,5,2,1,3.9,2,Ad_Emotion,Ad_Emotion,1,4,0.011113580795732384,1
P00069,44,Male,Hispanic,Master,Liberal,2,2,5,3.9,1,Ad_Emotion,Ad_Emotion,1,3,0.008890864636585907,0
P00070,32,Female,White,PhD,Conservative,3,3,1,2.0,4,Ad_Reason,Ad_Reason,0,4,0.008446321404756612,0
P00071,44,Male,White,High School,Conservative,4,1,4,2.3,5,Control,Control,1,2,0.009779951100244499,0
P00072,58,Male,White,High School,Conservative,1,2,3,4.5,3,Ad_Emotion,Ad_Emotion,1,4,0.01155812402756168,0
P00073,39,Female,White,Bachelor,Conservative,1,3,5,3.9,5,Ad_Emotion,Ad_Emotion,1,3,0.012224938875305623,0
P00074,58,Female,White,PhD,Liberal,1,4,1,3.6,4,Ad_Emotion,Ad_Emotion,1,3,0.009335407868415203,0
P00075,18,Male,White,High School,Conservative,2,5,2,3.8,1,Ad_Emotion,Ad_Emotion,1,3,0.01066903756390309,0
P00076,49,Male,White,Bachelor,Liberal,3,3,4,4.1,1,Ad_Emotion,Ad_Emotion,1,3,0.007779506557012669,0
P00077,41,Female,White,Bachelor,Conservative,1,2,3,3.1,4,Ad_Emotion,Ad_Emotion,0,4,0.010446765947988441,0
P00078,36,Male,White,Master,Conservative,3,1,2,2.6,3,Control,Control,1,2,0.011335852411647033,2
P00079,41,Male,White,Bachelor,Liberal,4,4,3,3.6,4,Control,Control,1,4,0.010891309179817737,1
P00080,18,Male,White,Bachelor,Liberal,3,1,1,3.0,1,Ad_Emotion,Ad_Emotion,1,4,0.0066681484774394305,1
P00081,37,Male,Hispanic,Not Applicable,Liberal,3,1,2,4.5,1,Control,Control,1,4,0.007334963325183374,0
P00082,44,Female,White,Bachelor,Conservative,3,1,3,4.5,5,Ad_Reason,Ad_Reason,1,3,0.012224938875305623,1
P00083,57,Female,Asian,Master,Liberal,5,3,4,3.9,3,Ad_Emotion,Ad_Emotion,1,2,0.01066903756390309,0
P00084,33,Female,White,High School,Moderate,2,3,5,1.7,3,Ad_Reason,Ad_Reason,0,2,0.013336296954878861,0
P00085,30,Other,Black,Bachelor,Conservative,3,5,5,1.9,1,Ad_Reason,Ad_Reason,1,3,0.011113580795732384,1
P00086,33,Male,White,High School,Liberal,1,4,2,1.7,4,Ad_Emotion,Ad_Emotion,1,5,0.007557234941098022,1
P00087,50,Male,Hispanic,High School,Moderate,5,1,4,3.2,1,Control,Control,0,2,0.0066681484774394305,1
P00088,43,Male,White,Master,Moderate,3,2,4,3.9,5,Ad_Reason,Ad_Reason,1,3,0.010224494332073794,1
P00089,33,Male,Hispanic,Bachelor,Liberal,5,1,3,2.7,4,Ad_Emotion,Ad_Emotion,0,5,0.008446321404756612,1
P00090,46,Male,White,Bachelor,Conservative,2,4,2,2.4,1,Ad_Reason,Ad_Reason,0,2,0.00955767948432985,0
P00091,41,Female,White,High School,Liberal,5,1,4,3.1,3,Ad_Reason,Ad_Reason,0,2,0.012224938875305623,0
P00092,51,Female,Black,Bachelor,Liberal,1,3,3,2.2,5,Ad_Reason,Ad_Reason,1,3,0.011335852411647033,1
P00093,31,Male,White,Bachelor,Moderate,3,3,4,3.3,1,Ad_Reason,Ad_Reason,1,4,0.00866859302067126,0
P00094,36,Female,White,Bachelor,Moderate,1,4,2,2.8,1,Control,Control,0,3,0.010224494332073794,2
P00095,35,Female,White,High School,Conservative,4,5,4,2.3,2,Ad_Reason,Ad_Reason,0,5,0.006890420093354078,1
P00096,22,Female,Black,Master,Conservative,5,1,4,3.1,4,Ad_Reason,Ad_Reason,0,4,0.01155812402756168,1
P00097,43,Female,Other,Master,Moderate,5,4,4,3.9,2,Ad_Reason,Ad_Reason,1,3,0.00955767948432985,0
P00098,43,Female,White,High School,Liberal,5,2,5,1.5,3,Control,Control,0,3,0.009113136252500556,0
P00100,37,Female,White,Bachelor,Liberal,1,5,2,1.0,5,Ad_Reason,Ad_Reason,1,5,0.009335407868415203,1
P00101,23,Female,White,Bachelor,Moderate,4,3,5,2.7,4,Control,Control,1,3,0.013780840186708157,2
P00102,34,Male,Hispanic,Bachelor,Conservative,2,4,1,3.7,1,Control,Control,1,2,0.008446321404756612,0
P00103,35,Male,Hispanic,Bachelor,Liberal,2,1,4,4.0,1,Control,Control,0,2,0.007779506557012669,1
P00104,30,Female,Asian,Bachelor,Liberal,3,4,4,2.5,1,Ad_Reason,Ad_Reason,1,2,0.007557234941098022,1
P00105,38,Male,White,Bachelor,Moderate,4,5,5,2.5,4,Control,Control,1,3,0.008890864636585907,0
P00106,44,Male,White,High School,Liberal,5,4,3,2.8,1,Control,Control,1,4,0.010446765947988441,2
P00107,62,Female,White,High School,Conservative,5,5,2,1.9,1,Ad_Reason,Ad_Reason,1,3,0.009779951100244499,1
P00108,42,Male,White,Bachelor,Moderate,3,5,1,3.2,2,Control,Control,0,5,0.008001778172927318,0
P00109,43,Female,White,High School,Moderate,5,5,4,2.0,1,Ad_Reason,Ad_Reason,0,3,0.009779951100244499,1
P00110,39,Female,Hispanic,PhD,Liberal,1,4,2,3.6,2,Ad_Emotion,Ad_Emotion,1,5,0.010224494332073794,0
P00111,18,Female,Hispanic,Master,Conservative,5,2,4,2.3,3,Control,Control,0,2,0.008224049788841965,3
P00112,39,Female,White,Master,Liberal,1,1,4,2.7,4,Ad_Emotion,Ad_Emotion,1,3,0.011113580795732384,1
P00113,40,Male,White,PhD,Conservative,3,5,4,3.5,2,Ad_Reason,Ad_Reason,1,3,0.009335407868415203,1
P00114,69,Female,Hispanic,Bachelor,Liberal,3,3,2,3.6,4,Control,Control,1,3,0.009113136252500556,2
P00116,43,Other,Black,High School,Conservative,5,4,2,3.3,5,Ad_Emotion,Ad_Emotion,1,5,0.010224494332073794,0
P00118,25,Male,White,Master,Conservative,3,3,3,3.0,1,Control,Control,0,1,0.011780395643476329,1
P00119,53,Female,Other,High School,Moderate,1,2,3,2.8,5,Control,Control,0,4,0.010224494332073794,2
P00121,49,Female,White,Bachelor,Liberal,5,4,3,3.1,2,Ad_Reason,Ad_Reason,1,5,0.012224938875305623,1
P00122,29,Male,White,Master,Moderate,3,4,5,2.1,3,Control,Control,1,2,0.008446321404756612,4
P00123,56,Male,Hispanic,High School,Moderate,1,3,4,3.0,1,Ad_Emotion,Ad_Emotion,1,4,0.00866859302067126,0
P00124,23,Male,Hispanic,Bachelor,Conservative,5,4,4,2.7,3,Control,Control,1,2,0.007557234941098022,1
P00125,47,Male,White,High School,Conservative,4,2,2,2.5,4,Control,Control,1,2,0.010224494332073794,2
P00126,66,Female,White,Master,Moderate,1,1,4,1.9,1,Ad_Reason,Ad_Reason,1,5,0.009335407868415203,0
P00127,28,Female,Black,High School,Conservative,4,1,3,1.9,3,Control,Control,1,3,0.010224494332073794,0
P00129,41,Female,Black,High School,Liberal,5,1,2,3.1,1,Control,Control,1,3,0.010891309179817737,1
P00130,33,Male,White,High School,Conservative,3,3,5,4.8,2,Ad_Emotion,Ad_Emotion,1,4,0.01155812402756168,1
P00132,40,Male,Black,High School,Liberal,2,3,2,4.2,5,Ad_Reason,Ad_Reason,0,3,0.008890864636585907,1
P00133,27,Female,White,Master,Conservative,3,3,2,1.7,5,Ad_Reason,Ad_Reason,1,5,0.011335852411647033,0
P00134,45,Female,Hispanic,High School,Moderate,3,5,2,4.4,5,Ad_Emotion,Ad_Emotion,1,3,0.008890864636585907,1
P00135,28,Female,White,High School,Liberal,3,1,4,2.9,4,Control,Control,1,3,0.012224938875305623,0
P00136,58,Female,White,Bachelor,Liberal,1,5,5,2.7,1,Control,Control,0,2,0.009113136252500556,0
P00137,30,Female,Other,High School,Moderate,5,4,2,2.6,1,Ad_Emotion,Ad_Emotion,0,5,0.009779951100244499,0
P00138,36,Female,White,High School,Conservative,5,2,2,2.6,1,Control,Control,1,4,0.007112691709268726,2
P00139,49,Female,Black,Master,Moderate,5,1,2,3.4,5,Control,Control,0,4,0.009779951100244499,2
P00140,25,Female,White,High School,Moderate,1,4,4,5.0,2,Ad_Reason,Ad_Reason,1,4,0.009779951100244499,2
P00141,42,Female,Black,High School,Liberal,5,4,3,1.4,3,Control,Control,0,3,0.008224049788841965,1
P00142,55,Male,Black,High School,Liberal,3,5,5,4.9,5,Control,Control,0,2,0.010446765947988441,2
P00143,20,Female,White,Bachelor,Liberal,4,5,2,4.5,4,Ad_Emotion,Ad_Emotion,1,5,0.010224494332073794,2
P00145,43,Female,Black,High School,Moderate,5,2,2,2.5,3,Ad_Reason,Ad_Reason,0,2,0.00955767948432985,0
P00146,49,Female,White,Master,Liberal,1,2,4,1.7,1,Control,Control,0,4,0.010224494332073794,2
P00148,24,Male,White,Bachelor,Conservative,5,5,2,2.4,1,Control,Control,0,3,0.008224049788841965,2
P00149,46,Male,White,Bachelor,Conservative,4,3,2,2.9,2,Ad_Reason,Ad_Reason,1,3,0.012224938875305623,3
P00150,43,Female,White,Bachelor,Conservative,5,5,4,3.0,3,Ad_Reason,Ad_Reason,1,4,0.011335852411647033,1
P00151,43,Female,White,Not Applicable,Moderate,1,3,5,3.8,5,Ad_Emotion,Ad_Emotion,0,4,0.007112691709268726,3
P00152,44,Male,White,Bachelor,Liberal,2,5,5,3.7,2,Ad_Reason,Ad_Reason,1,5,0.010891309179817737,1
P00153,31,Male,Asian,Not Applicable,Conservative,4,5,3,3.2,4,Control,Control,0,4,0.009113136252500556,2
P00154,42,Female,White,High School,Liberal,5,2,5,3.0,4,Control,Control,0,4,0.012002667259390976,0
P00156,31,Male,White,High School,Conservative,5,4,4,3.8,3,Control,Control,0,3,0.01155812402756168,1
P00157,62,Male,White,Bachelor,Conservative,4,4,2,3.4,5,Control,Control,0,3,0.010891309179817737,0
P00158,45,Male,Asian,High School,Conservative,1,4,2,2.6,2,Ad_Reason,Ad_Reason,0,2,0.009779951100244499,1
P00159,25,Female,White,High School,Conservative,4,2,3,4.1,3,Ad_Reason,Ad_Reason,0,4,0.008890864636585907,0
P00160,47,Male,White,Bachelor,Moderate,3,4,5,3.8,4,Control,Control,1,3,0.00955767948432985,2
P00163,53,Male,White,High School,Liberal,2,4,2,3.1,3,Ad_Emotion,Ad_Emotion,1,2,0.01066903756390309,0
P00164,30,Female,Other,Master,Conservative,4,2,4,2.3,5,Ad_Emotion,Ad_Emotion,1,4,0.010002222716159146,2
P00165,51,Male,White,High School,Liberal,4,5,4,3.7,1,Ad_Emotion,Ad_Emotion,1,1,0.00955767948432985,1
P00166,44,Male,Hispanic,Master,Liberal,4,2,2,3.2,2,Ad_Reason,Ad_Reason,0,3,0.01066903756390309,2
P00167,49,Male,Black,Bachelor,Conservative,2,4,1,1.3,3,Ad_Emotion,Ad_Emotion,1,3,0.010224494332073794,2
P00168,62,Male,White,Bachelor,Liberal,1,2,2,3.3,3,Ad_Reason,Ad_Reason,1,1,0.00955767948432985,0
P00169,37,Male,White,High School,Conservative,2,1,5,4.7,5,Ad_Reason,Ad_Reason,1,3,0.011335852411647033,1
P00170,30,Female,Hispanic,High School,Liberal,1,4,2,2.8,2,Ad_Emotion,Ad_Emotion,1,1,0.013114025338964214,1
P00171,29,Female,Hispanic,Bachelor,Conservative,4,5,1,3.0,2,Ad_Emotion,Ad_Emotion,0,5,0.007334963325183374,0
P00172,30,Female,White,High School,Moderate,3,3,2,2.7,4,Ad_Emotion,Ad_Emotion,1,2,0.010002222716159146,1
P00173,39,Female,White,High School,Moderate,2,2,5,3.1,2,Control,Control,0,3,0.01066903756390309,2
P00174,44,Female,White,High School,Liberal,4,2,3,4.5,2,Ad_Emotion,Ad_Emotion,1,3,0.009779951100244499,2
P00175,43,Male,White,Master,Liberal,2,4,4,4.1,3,Control,Control,1,2,0.010002222716159146,0
P00176,49,Female,White,Bachelor,Conservative,4,4,1,2.4,1,Ad_Reason,Ad_Reason,0,3,0.009779951100244499,0
P00177,40,Female,Hispanic,Bachelor,Liberal,2,1,3,2.9,3,Control,Control,0,1,0.007334963325183374,1
P00178,57,Female,White,Bachelor,Liberal,5,5,4,3.0,5,Ad_Emotion,Ad_Emotion,0,2,0.007779506557012669,0
P00179,36,Female,Asian,Master,Moderate,2,2,3,3.4,2,Ad_Reason,Ad_Reason,1,3,0.00955767948432985,0
P00180,72,Male,Black,Bachelor,Moderate,5,2,2,3.4,1,Ad_Reason,Ad_Reason,0,4,0.0066681484774394305,1
P00181,47,Female,White,Bachelor,Liberal,1,3,2,2.9,3,Ad_Reason,Ad_Reason,1,1,0.011780395643476329,3
P00182,29,Female,White,PhD,Liberal,2,2,4,1.8,4,Control,Control,0,5,0.01155812402756168,2
P00183,27,Other,Black,Master,Liberal,1,2,4,2.9,5,Ad_Emotion,Ad_Emotion,1,4,0.009113136252500556,2
P00184,45,Male,Hispanic,High School,Conservative,3,1,2,2.6,5,Ad_Reason,Ad_Reason,1,2,0.011113580795732384,1
P00185,37,Male,Black,High School,Liberal,5,3,2,2.1,5,Ad_Reason,Ad_Reason,1,4,0.012002667259390976,2
P00186,48,Male,White,Master,Conservative,2,2,4,3.8,3,Ad_Reason,Ad_Reason,0,4,0.010224494332073794,1
P00187,45,Female,White,Master,Liberal,1,2,4,3.0,1,Control,Control,0,4,0.00866859302067126,3
P00188,39,Male,White,Bachelor,Liberal,4,5,4,2.0,1,Control,Control,1,5,0.01066903756390309,2
P00189,29,Male,White,Bachelor,Moderate,1,2,5,5.0,2,Ad_Emotion,Ad_Emotion,1,4,0.009113136252500556,2
P00192,50,Female,Hispanic,Bachelor,Conservative,5,2,5,4.0,5,Ad_Emotion,Ad_Emotion,0,3,0.01066903756390309,0
P00193,42,Male,White,High School,Liberal,4,4,1,2.6,3,Ad_Reason,Ad_Reason,1,4,0.010446765947988441,1
P00194,25,Female,Black,Not Applicable,Conservative,1,2,2,3.5,5,Ad_Reason,Ad_Reason,1,2,0.012224938875305623,0
P00195,42,Female,Other,Master,Liberal,2,3,1,1.1,5,Control,Control,1,3,0.007779506557012669,1
P00196,44,Female,White,Bachelor,Liberal,2,4,3,4.0,4,Ad_Emotion,Ad_Emotion,0,5,0.006890420093354078,2
P00197,29,Female,Hispanic,High School,Liberal,5,3,1,2.9,5,Control,Control,0,4,0.008446321404756612,1
P00199,40,Male,White,Bachelor,Liberal,1,1,1,2.9,4,Ad_Emotion,Ad_Emotion,0,3,0.00866859302067126,2
P00200,26,Male,Hispanic,Bachelor,Conservative,1,2,3,4.8,4,Ad_Reason,Ad_Reason,1,3,0.012002667259390976,2
P00202,46,Female,White,Bachelor,Liberal,5,2,2,1.0,5,Ad_Emotion,Ad_Emotion,1,4,0.008890864636585907,1
P00204,52,Female,Black,Master,Conservative,4,1,4,2.7,2,Ad_Emotion,Ad_Emotion,1,3,0.009779951100244499,2
P00205,23,Male,Hispanic,High School,Conservative,1,1,2,3.6,2,Ad_Emotion,Ad_Emotion,1,3,0.007779506557012669,0
P00206,28,Female,White,Bachelor,Moderate,1,3,3,3.6,4,Control,Control,0,5,0.010002222716159146,2
P00208,46,Male,White,Bachelor,Liberal,4,4,4,2.9,1,Control,Control,0,3,0.012224938875305623,2
P00209,46,Female,White,Bachelor,Conservative,4,2,1,2.0,5,Ad_Reason,Ad_Reason,0,5,0.009113136252500556,2
P00210,85,Male,White,Bachelor,Conservative,2,2,5,4.5,2,Ad_Reason,Ad_Reason,0,4,0.009113136252500556,1
P00211,46,Female,White,Not Applicable,Conservative,4,1,2,3.3,3,Ad_Reason,Ad_Reason,0,4,0.011335852411647033,1
P00212,53,Female,Hispanic,High School,Conservative,3,1,5,3.4,2,Ad_Reason,Ad_Reason,0,4,0.012224938875305623,1
P00213,51,Male,White,Bachelor,Moderate,5,3,3,3.3,4,Control,Control,1,3,0.01066903756390309,1
P00214,47,Male,Hispanic,High School,Moderate,4,4,1,1.9,5,Ad_Reason,Ad_Reason,1,4,0.009779951100244499,2
P00215,36,Male,White,High School,Moderate,2,4,4,3.6,4,Ad_Emotion,Ad_Emotion,1,4,0.009335407868415203,1
P00216,49,Female,Black,Bachelor,Liberal,3,1,1,4.8,1,Ad_Emotion,Ad_Emotion,1,3,0.009779951100244499,0
P00217,30,Female,Hispanic,High School,Moderate,2,1,2,1.4,5,Ad_Emotion,Ad_Emotion,1,5,0.00866859302067126,2
P00218,37,Male,Black,Not Applicable,Liberal,2,4,3,3.1,5,Control,Control,1,3,0.012224938875305623,0
P00219,34,Female,Black,Not Applicable,Moderate,2,4,1,3.8,5,Ad_Reason,Ad_Reason,1,3,0.00866859302067126,0
P00220,40,Female,White,High School,Liberal,2,3,1,2.3,3,Ad_Reason,Ad_Reason,1,2,0.011780395643476329,2
P00221,67,Male,Hispanic,Bachelor,Liberal,1,4,1,3.7,5,Ad_Reason,Ad_Reason,1,3,0.011113580795732384,1
P00222,18,Male,Hispanic,Bachelor,Liberal,5,2,4,3.0,3,Control,Control,0,2,0.00955767948432985,1
P00223,48,Female,White,Master,Conservative,1,4,3,2.3,5,Ad_Emotion,Ad_Emotion,0,5,0.007557234941098022,1
P00224,20,Female,Hispanic,Bachelor,Liberal,3,5,4,1.0,2,Ad_Emotion,Ad_Emotion,1,3,0.011780395643476329,0
P00225,34,Male,White,High School,Conservative,1,4,1,2.9,1,Ad_Reason,Ad_Reason,1,3,0.00955767948432985,1
P00227,40,Male,Hispanic,Master,Moderate,4,1,4,4.3,4,Ad_Emotion,Ad_Emotion,1,2,0.01155812402756168,0
P00228,27,Female,White,Bachelor,Liberal,3,5,2,3.3,2,Control,Control,0,5,0.009335407868415203,2
P00229,31,Male,Hispanic,PhD,Liberal,1,2,5,2.5,4,Control,Control,1,4,0.010224494332073794,2
P00230,48,Male,White,PhD,Moderate,1,4,5,1.4,4,Control,Control,1,2,0.012669482107134918,3
P00231,31,Female,White,Bachelor,Moderate,3,4,2,3.9,3,Control,Control,0,3,0.007557234941098022,0
P00232,42,Female,White,Bachelor,Liberal,1,5,2,3.1,1,Ad_Reason,Ad_Reason,0,4,0.012669482107134918,1
P00233,40,Male,White,Not Applicable,Moderate,3,3,4,2.6,4,Control,Control,1,3,0.012224938875305623,0
P00234,32,Male,Asian,High School,Conservative,2,3,4,2.5,2,Ad_Emotion,Ad_Emotion,1,3,0.010224494332073794,0
P00235,65,Female,White,High School,Liberal,5,2,3,4.2,1,Ad_Reason,Ad_Reason,0,2,0.008890864636585907,0
P00236,47,Male,White,High School,Liberal,3,4,5,4.4,2,Ad_Emotion,Ad_Emotion,1,5,0.010224494332073794,1
P00237,18,Male,White,PhD,Moderate,2,4,4,2.4,4,Ad_Emotion,Ad_Emotion,0,3,0.010891309179817737,1
P00238,42,Female,White,Master,Liberal,2,4,3,1.0,1,Ad_Emotion,Ad_Emotion,0,1,0.00955767948432985,0
P00239,32,Male,Asian,High School,Conservative,2,1,5,2.8,5,Control,Control,1,3,0.010891309179817737,1
P00240,50,Female,White,Not Applicable,Moderate,2,3,3,3.2,4,Control,Control,1,2,0.00955767948432985,2
P00241,30,Female,Black,Master,Moderate,3,5,3,3.1,4,Ad_Reason,Ad_Reason,0,4,0.010002222716159146,1
P00243,46,Male,Black,High School,Moderate,2,1,1,4.5,2,Control,Control,0,1,0.008001778172927318,0
P00244,50,Female,Hispanic,Bachelor,Liberal,4,3,1,1.1,5,Ad_Emotion,Ad_Emotion,1,4,0.010446765947988441,2
P00245,25,Female,White,Bachelor,Conservative,2,4,1,2.3,1,Ad_Reason,Ad_Reason,1,4,0.009335407868415203,1
P00246,35,Female,White,Bachelor,Moderate,1,2,3,2.0,4,Control,Control,1,3,0.008001778172927318,0
